Municipality,County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Hammonton Town,Atlantic,2017,ACE,"59,883,328","67,423,815","5,717,771","990,473","134,015,387",SJG,"6,024,779","4,352,546","67,481",NDA,"10,444,806"
Hammonton Town,Atlantic,2018,ACE,"63,338,752","69,774,706","5,300,047","537,610","138,951,115",SJG,"7,318,708","5,050,291","79,021",NDA,"12,448,021"
Hammonton Town,Atlantic,2019,ACE,"59,142,090","65,829,737","5,012,365","533,583","130,517,775",SJG,"6,716,008","4,691,119","70,231",NDA,"11,477,358"
Hammonton Town,Atlantic,2020,ACE,"59,537,829","61,658,387","4,992,713","530,819","126,719,748",SJG,"6,308,771","4,220,003","50,227",NDA,"10,579,001"
Hammonton Town,Atlantic,2021,ACE,"61,062,996","65,730,831","4,912,311","529,396","132,235,534",SJG,"6,848,919","4,871,689","56,761",NDA,"11,777,369"
Hammonton Town,Atlantic,2022,ACE,"59,948,901","66,647,273","5,175,924","530,829","132,302,927",SJG,"6,859,384","5,245,313","46,632",NDA,"12,151,329"
Linwood City,Atlantic,2016,ACE,"35,302,520","18,291,737","1,302","364,092","53,959,651",SJG,"4,819,920","1,256,144",NDA,NDA,"6,076,065"
Linwood City,Atlantic,2017,ACE,"32,842,999","19,488,951","1,158","366,573","52,699,681",SJG,"5,014,132","1,353,636",NDA,NDA,"6,367,768"
Linwood City,Atlantic,2018,ACE,"33,368,054","22,052,730","1,656","366,591","55,789,031",SJG,"5,399,109","1,688,135",NDA,NDA,"7,087,244"
Linwood City,Atlantic,2019,ACE,"32,485,542","21,022,498","1,511","370,615","53,880,166",SJG,"5,400,425","1,952,076",NDA,NDA,"7,352,501"
Linwood City,Atlantic,2020,ACE,"31,909,556","18,298,158","2,365","372,285","50,582,364",SJG,"4,905,490","1,715,715",NDA,NDA,"6,621,206"
Linwood City,Atlantic,2021,ACE,"32,028,304","18,124,842","2,361","371,479","50,526,986",SJG,"5,302,872","1,783,054",NDA,NDA,"7,085,926"
Linwood City,Atlantic,2022,ACE,"31,086,738","19,338,530","1,903","372,766","50,799,937",SJG,"5,214,952","1,794,890",NDA,NDA,"7,009,842"
Longport Borough,Atlantic,2016,ACE,"12,681,908","5,639,359","29,280","179,566","18,530,113",SJG,"1,897,488","160,230",NDA,NDA,"2,057,717"
Longport Borough,Atlantic,2017,ACE,"12,033,244","5,231,029","26,160","180,795","17,471,228",SJG,"2,003,294","162,068",NDA,NDA,"2,165,362"
Longport Borough,Atlantic,2018,ACE,"13,413,420","5,959,447","28,720","180,801","19,582,388",SJG,"2,500,665","171,495",NDA,NDA,"2,672,159"
Longport Borough,Atlantic,2019,ACE,"13,211,312","5,800,762","28,000","181,516","19,221,590",SJG,"2,154,405","167,327",NDA,NDA,"2,321,732"
Longport Borough,Atlantic,2020,ACE,"14,312,649","5,130,258","42,480","179,806","19,665,193",SJG,"2,098,648","153,896",NDA,NDA,"2,252,544"
Longport Borough,Atlantic,2021,ACE,"14,123,631","5,087,771","44,640","179,203","19,435,245",SJG,"2,277,950","165,077",NDA,NDA,"2,443,026"
Longport Borough,Atlantic,2022,ACE,"13,383,512","5,327,924","38,640","182,477","18,932,553",SJG,"2,217,674","201,034",NDA,NDA,"2,418,708"
Margate City,Atlantic,2016,ACE,"46,974,168","17,451,228",NDA,"525,325","64,950,721",SJG,"7,370,577","1,742,193",NDA,NDA,"9,112,770"
Margate City,Atlantic,2017,ACE,"43,496,508","17,706,097",NDA,"535,884","61,738,489",SJG,"7,615,359","1,790,430",NDA,NDA,"9,405,789"
