Municipality,County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Beachwood Borough,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"2,392,286","199,202",CWC,NDA,"2,591,488"
Beachwood Borough,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"2,525,068","201,468",CWC,NDA,"2,726,536"
Beachwood Borough,Ocean,2018,JCPL,"37,165,268","7,172,957","174,548","141,936","44,654,709",NJNG,"2,808,574","232,703",CWC,NDA,"3,041,277"
Beachwood Borough,Ocean,2019,JCPL,"35,448,256","7,118,427","216,230","141,936","42,924,849",NJNG,"2,680,560","221,780",CWC,NDA,"2,902,340"
Beachwood Borough,Ocean,2020,JCPL,"36,701,859","6,203,946","334,574","141,936","43,382,315",NJNG,"2,546,888","192,195",CWC,NDA,"2,739,083"
Beachwood Borough,Ocean,2021,JCPL,"37,767,637","6,615,196","385,411","141,936","44,910,180",NJNG,"2,698,730","218,688",CWC,NDA,"2,917,418"
Beachwood Borough,Ocean,2022,JCPL,"37,192,457","6,949,798","278,237",NDA,"44,420,492",NJNG,"2,700,424","216,306",CWC,NDA,"2,916,730"
Berkeley Township,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"16,397,706","2,884,890",CWC,NDA,"19,282,596"
Berkeley Township,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"16,386,476","2,936,672",CWC,NDA,"19,323,148"
Berkeley Township,Ocean,2018,JCPL,"164,762,162","48,885,590","16,793,175","1,677,221","232,118,148",NJNG,"18,208,654","3,170,924",CWC,NDA,"21,379,578"
Berkeley Township,Ocean,2019,JCPL,"160,451,083","47,248,421","16,272,601","1,682,504","225,654,609",NJNG,"17,256,292","3,240,496",CWC,NDA,"20,496,788"
Berkeley Township,Ocean,2020,JCPL,"163,939,238","44,077,672","15,786,684","1,675,800","225,479,394",NJNG,"16,789,084","3,008,817",CWC,NDA,"19,797,901"
Berkeley Township,Ocean,2021,JCPL,"167,888,027","45,034,538","17,445,431","1,694,242","232,062,238",NJNG,"17,579,208","2,994,654",CWC,NDA,"20,573,862"
Berkeley Township,Ocean,2022,JCPL,"166,484,029","44,662,734","18,529,756",NDA,"229,676,519",NJNG,"18,305,010","3,284,840",CWC,NDA,"21,589,850"
Brick Township,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"19,086,441","4,744,815",CWC,NDA,"23,831,256"
Brick Township,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"19,314,076","4,677,783",CWC,NDA,"23,991,859"
Brick Township,Ocean,2018,JCPL,"303,174,218","160,516,022","15,665,295","3,313,455","482,668,990",NJNG,"22,538,247","5,477,382",CWC,NDA,"28,015,629"
Brick Township,Ocean,2019,JCPL,"291,950,296","157,935,646","17,066,258","3,513,563","470,465,763",NJNG,"21,534,973","5,332,677",CWC,NDA,"26,867,650"
Brick Township,Ocean,2020,JCPL,"295,496,332","153,009,746","16,683,530","3,527,546","468,717,154",NJNG,"19,402,922","4,536,776",CWC,NDA,"23,939,698"
Brick Township,Ocean,2021,JCPL,"303,276,702","150,491,584","18,196,777","3,031,443","474,996,506",NJNG,"20,725,854","5,706,059",CWC,NDA,"26,431,913"
Brick Township,Ocean,2022,JCPL,"298,982,617","147,570,926","16,005,849",NDA,"462,559,392",NJNG,"20,992,505","5,792,664",CWC,NDA,"26,785,169"
Eagleswood Township,Ocean,2016,ACE,"8,597,257","3,696,030","3,532,192","70,992","15,896,471",NJNG,"431,319","93,599",CWC,NDA,"524,918"
Eagleswood Township,Ocean,2017,ACE,"8,118,968","3,630,070","3,264,549","71,747","15,085,334",NJNG,"450,637","96,711",CWC,NDA,"547,348"
Eagleswood Township,Ocean,2018,ACE,"8,588,193","3,912,667","2,380,084","71,799","14,952,743",NJNG,"533,385","115,754",CWC,NDA,"649,139"
Eagleswood Township,Ocean,2019,ACE,"8,084,307","3,694,336","3,250,285","72,151","15,101,079",NJNG,"494,163","109,835",CWC,NDA,"603,998"
Eagleswood Township,Ocean,2020,ACE,"8,289,590","3,574,687","3,587,993","71,804","15,524,074",NJNG,"474,629","105,594",CWC,NDA,"580,223"
Eagleswood Township,Ocean,2021,ACE,"8,292,415","3,629,253","5,006,909","71,626","17,000,203",NJNG,"497,732","118,672",CWC,NDA,"616,404"
Eagleswood Township,Ocean,2022,ACE,"8,366,060","3,798,820","5,180,496","71,802","17,417,178",NJNG,"511,696","123,651",CWC,NDA,"635,347"
Harvey Cedars Borough,Ocean,2016,ACE,"8,536,132","2,270,836",NDA,"75,672","10,882,640",NJNG,"425,409","93,188",CWC,NDA,"518,597"
Harvey Cedars Borough,Ocean,2017,ACE,"8,062,917","2,018,001",NDA,"75,672","10,156,590",NJNG,"444,171","91,362",CWC,NDA,"535,533"
Harvey Cedars Borough,Ocean,2018,ACE,"9,032,103","2,216,772",NDA,"75,672","11,324,547",NJNG,"573,511","103,855",CWC,NDA,"677,366"
Harvey Cedars Borough,Ocean,2019,ACE,"8,901,988","2,063,438",NDA,"75,672","11,041,098",NJNG,"535,545","96,364",CWC,NDA,"631,909"
Harvey Cedars Borough,Ocean,2020,ACE,"9,820,313","1,792,763",NDA,"75,672","11,688,748",NJNG,"493,581","71,614",CWC,NDA,"565,195"
Harvey Cedars Borough,Ocean,2021,ACE,"9,899,017","1,939,349",NDA,"75,646","11,914,012",NJNG,"563,797","83,720",CWC,NDA,"647,517"
Harvey Cedars Borough,Ocean,2022,ACE,"9,264,890","1,899,461",NDA,"75,644","11,239,995",NJNG,"567,627","90,965",CWC,NDA,"658,592"
Island Heights Borough,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"660,831","92,498",CWC,NDA,"753,329"
Island Heights Borough,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"653,467","87,995",CWC,NDA,"741,462"
Island Heights Borough,Ocean,2018,JCPL,"7,610,443","2,286,954","4,119","50,724","9,952,240",NJNG,"786,056","106,260",CWC,NDA,"892,316"
Island Heights Borough,Ocean,2019,JCPL,"7,456,000","2,125,271","4,022","50,724","9,636,017",NJNG,"725,595","105,544",CWC,NDA,"831,139"
Island Heights Borough,Ocean,2020,JCPL,"7,587,457","1,905,426","2,894","50,724","9,546,501",NJNG,"644,466","91,076",CWC,NDA,"735,542"
Island Heights Borough,Ocean,2021,JCPL,"7,811,861","2,004,802","2,904","50,724","9,870,291",NJNG,"697,658","103,808",CWC,NDA,"801,466"
Island Heights Borough,Ocean,2022,JCPL,"7,811,216","2,051,778","1,867",NDA,"9,864,861",NJNG,"716,188","103,142",CWC,NDA,"819,330"
Jackson Township,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG/PSEG,"13,879,255","3,492,313",CWC + NDA,NDA,"17,371,568"
Jackson Township,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG/PSEG,"14,935,481","3,657,706",CWC + NDA,NDA,"18,593,187"
Jackson Township,Ocean,2018,JCPL,"217,186,652","126,197,828","5,168,654","2,168,513","350,721,647",NJNG/PSEG,"17,210,739","4,034,511",CWC + NDA,NDA,"21,245,250"
Jackson Township,Ocean,2019,JCPL,"209,910,913","107,802,172","6,132,125","2,166,552","326,011,762",NJNG/PSEG,"16,501,345","3,799,635",CWC + NDA,NDA,"20,300,980"
Jackson Township,Ocean,2020,JCPL,"213,231,739","83,624,240","4,987,351","2,151,197","303,994,527",NJNG/PSEG,"15,435,963","3,836,532",CWC + NDA,NDA,"19,272,495"
Jackson Township,Ocean,2021,JCPL,"220,327,234","82,971,691","4,003,332","2,129,424","309,431,681",NJNG/PSEG,"16,586,915","3,990,470",CWC + NDA,NDA,"20,577,385"
Jackson Township,Ocean,2022,JCPL,"218,678,044","88,499,922","1,785,954",NDA,"308,963,920",NJNG/PSEG,"16,576,550","3,707,029",CWC + NDA,NDA,"20,283,579"
Lacey Township,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"8,383,228","1,312,406",CWC,NDA,"9,695,634"
Lacey Township,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"8,380,051","1,317,012",CWC,NDA,"9,697,063"
Lacey Township,Ocean,2018,JCPL,"114,722,779","70,215,199","1,121,775","1,251,510","187,311,263",NJNG,"10,257,686","1,543,606",CWC,NDA,"11,801,292"
Lacey Township,Ocean,2019,JCPL,"110,847,300","84,976,529","1,218,131","1,253,712","198,295,672",NJNG,"9,588,693","1,396,893",CWC,NDA,"10,985,586"
Lacey Township,Ocean,2020,JCPL,"114,776,650","75,805,866","1,123,717","1,255,020","192,961,253",NJNG,"8,984,516","1,228,956",CWC,NDA,"10,213,472"
Lacey Township,Ocean,2021,JCPL,"118,385,998","67,469,400","1,186,147","1,256,688","188,298,233",NJNG,"9,644,238","1,399,332",CWC,NDA,"11,043,570"
Lacey Township,Ocean,2022,JCPL,"117,243,998","62,597,444","1,716,104",NDA,"181,557,546",NJNG,"9,636,123","1,437,989",CWC,NDA,"11,074,112"
Lakehurst Borough,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"1,202,692","1,979,899",CWC,NDA,"3,182,591"
Lakehurst Borough,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"1,241,849","2,362,186",CWC,NDA,"3,604,035"
Lakehurst Borough,Ocean,2018,JCPL,"8,486,311","12,402,782",NDA,"423,346","21,312,439",NJNG,"1,210,872","1,899,438",CWC,NDA,"3,110,310"
Lakehurst Borough,Ocean,2019,JCPL,"9,179,011","12,852,544",NDA,"417,389","22,448,944",NJNG,"1,268,965","2,277,845",CWC,NDA,"3,546,810"
Lakehurst Borough,Ocean,2020,JCPL,"8,258,947","11,890,159",NDA,"423,806","20,572,912",NJNG,"1,266,248","2,261,630",CWC,NDA,"3,527,878"
Lakehurst Borough,Ocean,2021,JCPL,"8,361,938","11,781,123",NDA,"427,320","20,570,381",NJNG,"1,023,817","2,198,343",CWC,NDA,"3,222,160"
Lakehurst Borough,Ocean,2022,JCPL,"8,087,363","11,545,025",NDA,NDA,"19,632,388",NJNG,"1,203,225","2,225,623",CWC,NDA,"3,428,848"
Lakewood Township,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"16,341,537","45,403,604",CWC,NDA,"61,745,141"
Lakewood Township,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"16,483,952","45,209,274",CWC,NDA,"61,693,226"
Lakewood Township,Ocean,2018,JCPL,"334,724,621","299,124,033","26,999,871","4,692,560","665,541,085",NJNG,"19,662,006","37,991,658",CWC,NDA,"57,653,664"
Lakewood Township,Ocean,2019,JCPL,"331,591,340","300,305,626","26,672,820","5,531,530","664,101,316",NJNG,"18,430,986","17,964,613",CWC,NDA,"36,395,599"
Lakewood Township,Ocean,2020,JCPL,"339,012,475","283,248,791","22,613,863","6,046,479","650,921,608",NJNG,"19,278,165","33,978,640",CWC,NDA,"53,256,805"
Lakewood Township,Ocean,2021,JCPL,"356,060,301","313,850,215","19,883,859","6,290,033","696,084,408",NJNG,"19,223,197","31,894,100",CWC,NDA,"51,117,297"
Lakewood Township,Ocean,2022,JCPL,"357,737,307","316,657,389","18,269,431",NDA,"692,664,127",NJNG,"19,995,227","31,046,184",CWC,NDA,"51,041,411"
Lavallette Borough,Ocean,2016,MEU/JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"1,360,958","197,692",CWC,NDA,"1,558,650"
Lavallette Borough,Ocean,2017,MEU/JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"1,454,398","203,661",CWC,NDA,"1,658,059"
Lavallette Borough,Ocean,2018,MEU/JCPL,"5,935,479","310,757",NDA,"66,582","6,312,818",NJNG,"1,798,459","238,878",CWC,NDA,"2,037,337"
Lavallette Borough,Ocean,2019,MEU/JCPL,"5,893,789","315,800",NDA,"66,744","6,276,333",NJNG,"1,628,035","218,406",CWC,NDA,"1,846,441"
Lavallette Borough,Ocean,2020,MEU/JCPL,"6,251,483","308,405",NDA,"66,744","6,626,632",NJNG,"1,486,515","195,809",CWC,NDA,"1,682,324"
Lavallette Borough,Ocean,2021,MEU/JCPL,"6,295,223","325,851",NDA,"66,744","6,687,818",NJNG,"1,651,208","220,970",CWC,NDA,"1,872,178"
Lavallette Borough,Ocean,2022,MEU/JCPL,"6,305,632","18,820,991",NDA,NDA,"25,126,623",NJNG,"1,606,594","222,281",CWC,NDA,"1,828,875"
Little Egg Harbor Township,Ocean,2016,ACE,"64,016,243","22,894,665","5,053","1,057,470","87,973,431",NJNG,"5,009,959","803,870",CWC,NDA,"5,813,829"
Little Egg Harbor Township,Ocean,2017,ACE,"59,870,171","23,345,183","4,691","1,065,099","84,285,144",NJNG,"5,324,127","818,943",CWC,NDA,"6,143,070"
Little Egg Harbor Township,Ocean,2018,ACE,"65,209,265","24,185,570","4,950","1,065,184","90,464,969",NJNG,"6,579,978","947,161",CWC,NDA,"7,527,139"
Little Egg Harbor Township,Ocean,2019,ACE,"62,432,610","22,910,551","5,366","1,074,591","86,423,118",NJNG,"6,066,480","839,923",CWC,NDA,"6,906,403"
Little Egg Harbor Township,Ocean,2020,ACE,"62,792,211","21,404,231","5,309","1,069,218","85,270,969",NJNG,"5,735,920","798,763",CWC,NDA,"6,534,683"
Little Egg Harbor Township,Ocean,2021,ACE,"65,091,822","19,761,148","5,042","1,065,683","85,923,695",NJNG,"6,072,626","799,816",CWC,NDA,"6,872,442"
Little Egg Harbor Township,Ocean,2022,ACE,"64,704,372","19,871,202","5,043","1,059,706","85,640,323",NJNG,"6,183,066","817,225",CWC,NDA,"7,000,291"
Long Beach Township,Ocean,2016,ACE,"47,033,759","8,505,814","14,869","1,031,657","56,586,099",NJNG,"3,285,161","290,531",CWC,NDA,"3,575,692"
Long Beach Township,Ocean,2017,ACE,"44,749,156","8,439,814","14,956","1,037,817","54,241,743",NJNG,"3,455,427","298,230",CWC,NDA,"3,753,657"
Long Beach Township,Ocean,2018,ACE,"50,161,988","8,612,524","13,715","1,037,379","59,825,606",NJNG,"4,359,456","336,387",CWC,NDA,"4,695,843"
Long Beach Township,Ocean,2019,ACE,"49,265,151","8,469,642","15,965","1,043,411","58,794,169",NJNG,"3,975,580","310,585",CWC,NDA,"4,286,165"
Long Beach Township,Ocean,2020,ACE,"53,703,732","8,242,586","18,511","1,035,978","63,000,807",NJNG,"3,869,177","286,918",CWC,NDA,"4,156,095"
Long Beach Township,Ocean,2021,ACE,"53,822,652","8,698,975","16,048","1,033,323","63,570,998",NJNG,"4,260,980","295,633",CWC,NDA,"4,556,613"
Long Beach Township,Ocean,2022,ACE,"52,217,324","8,492,935","8,595","1,037,084","61,755,938",NJNG,"4,295,456","280,416",CWC,NDA,"4,575,872"
Manchester Township,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"6,517,019","1,153,558",CWC,NDA,"7,670,577"
Manchester Township,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"7,547,521","1,240,032",CWC,NDA,"8,787,553"
Manchester Township,Ocean,2018,JCPL,"281,021,056","84,386,131","15,729,999","2,157,142","383,294,328",NJNG,"7,321,812","1,349,395",CWC,NDA,"8,671,207"
Manchester Township,Ocean,2019,JCPL,"267,736,598","82,123,660","15,060,923","2,130,093","367,051,274",NJNG,"7,750,383","1,359,373",CWC,NDA,"9,109,756"
Manchester Township,Ocean,2020,JCPL,"251,908,471","72,051,345","14,776,478","2,105,928","340,842,222",NJNG,"7,763,663","1,251,966",CWC,NDA,"9,015,629"
Manchester Township,Ocean,2021,JCPL,"264,565,614","72,487,024","15,973,174","2,088,231","355,114,043",NJNG,"8,378,903","1,377,514",CWC,NDA,"9,756,417"
Manchester Township,Ocean,2022,JCPL,"257,857,060","70,999,619","17,096,023",NDA,"345,952,702",NJNG,"9,344,828","1,473,683",CWC,NDA,"10,818,511"
Mantoloking Borough,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"1,740,346","61,527",CWC,NDA,"1,801,873"
Mantoloking Borough,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"1,933,062","63,660",CWC,NDA,"1,996,722"
Mantoloking Borough,Ocean,2018,JCPL,"6,603,894","373,180","18,386","542,532","7,537,992",NJNG,"2,396,740","71,424",CWC,NDA,"2,468,164"
Mantoloking Borough,Ocean,2019,JCPL,"7,012,524","554,984","20,418","542,904","8,130,830",NJNG,"2,237,535","70,315",CWC,NDA,"2,307,850"
Mantoloking Borough,Ocean,2020,JCPL,"8,151,233","422,186","16,854","537,734","9,128,007",NJNG,"2,195,887","58,839",CWC,NDA,"2,254,726"
Mantoloking Borough,Ocean,2021,JCPL,"8,147,033","443,207","19,957","536,700","9,146,897",NJNG,"2,377,659","73,218",CWC,NDA,"2,450,877"
Mantoloking Borough,Ocean,2022,JCPL,"8,536,901","454,308","21,672",NDA,"9,012,881",NJNG,"2,287,545","69,132",CWC,NDA,"2,356,677"
Ocean Gate Borough,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"688,086","69,199",CWC,NDA,"757,285"
Ocean Gate Borough,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"670,276","67,939",CWC,NDA,"738,215"
Ocean Gate Borough,Ocean,2018,JCPL,"8,851,554","1,473,541","120,884","47,337","10,493,316",NJNG,"794,525","81,106",CWC,NDA,"875,631"
Ocean Gate Borough,Ocean,2019,JCPL,"8,562,321","1,405,628","113,878","46,686","10,128,513",NJNG,"759,573","76,184",CWC,NDA,"835,757"
Ocean Gate Borough,Ocean,2020,JCPL,"8,991,223","1,302,393","136,291","45,450","10,475,357",NJNG,"685,372","65,685",CWC,NDA,"751,057"
Ocean Gate Borough,Ocean,2021,JCPL,"9,394,312","1,416,300","149,845","45,384","11,005,841",NJNG,"728,364","65,136",CWC,NDA,"793,500"
Ocean Gate Borough,Ocean,2022,JCPL,"9,243,827","1,449,346","140,908",NDA,"10,834,081",NJNG,"734,044","74,459",CWC,NDA,"808,503"
Ocean Township,Ocean,2016,JCPL/ACE,"90,077","186,649",NDA,"5,254","281,980",NJNG,"2,832,672","344,540",CWC,NDA,"3,177,212"
Ocean Township,Ocean,2017,JCPL/ACE,"84,955","196,501",NDA,"5,294","286,750",NJNG,"2,969,784","348,566",CWC,NDA,"3,318,350"
Ocean Township,Ocean,2018,JCPL/ACE,"37,136,782","19,040,870","10,669","600,582","56,788,903",NJNG,"3,503,597","425,692",CWC,NDA,"3,929,289"
Ocean Township,Ocean,2019,JCPL/ACE,"35,625,916","18,374,601","18,057","601,536","54,620,110",NJNG,"3,302,646","403,672",CWC,NDA,"3,706,318"
Ocean Township,Ocean,2020,JCPL/ACE,"36,498,810","16,777,081","17,246","601,499","53,894,636",NJNG,"3,060,168","342,115",CWC,NDA,"3,402,283"
Ocean Township,Ocean,2021,JCPL/ACE,"37,906,092","18,313,805","15,133","601,482","56,836,512",NJNG,"3,267,868","369,661",CWC,NDA,"3,637,529"
Ocean Township,Ocean,2022,JCPL/ACE,"37,789,722","19,665,452","39,773","5,289","57,500,236",NJNG,"3,291,437","390,042",CWC,NDA,"3,681,479"
Pine Beach Borough,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"793,989","72,572",CWC,NDA,"866,561"
Pine Beach Borough,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"758,998","73,755",CWC,NDA,"832,753"
Pine Beach Borough,Ocean,2018,JCPL,"8,718,560","1,445,872","74,032","79,560","10,318,024",NJNG,"887,812","84,575",CWC,NDA,"972,387"
Pine Beach Borough,Ocean,2019,JCPL,"8,377,261","1,345,523","72,351","75,990","9,871,125",NJNG,"779,324","79,564",CWC,NDA,"858,888"
Pine Beach Borough,Ocean,2020,JCPL,"8,682,281","1,208,060","61,045","78,204","10,029,590",NJNG,"849,887","70,342",CWC,NDA,"920,229"
Pine Beach Borough,Ocean,2021,JCPL,"8,942,589","1,299,279","64,722","76,490","10,383,080",NJNG,"828,096","71,012",CWC,NDA,"899,108"
Pine Beach Borough,Ocean,2022,JCPL,"8,909,899","1,714,019","61,040",NDA,"10,684,958",NJNG,"856,879","76,493",CWC,NDA,"933,372"
Plumsted Township,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,PSEG,"1,113,108","291,471",NDA,"1,172","1,405,751"
Plumsted Township,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,PSEG,"1,178,501","318,535",NDA,"1,169","1,498,206"
Plumsted Township,Ocean,2018,JCPL,"36,551,853","15,883,006","103,793","194,415","52,733,067",PSEG,"1,343,806","384,464",NDA,293,"1,728,563"
Plumsted Township,Ocean,2019,JCPL,"35,163,501","15,973,123","88,130","192,587","51,417,341",PSEG,"1,248,467","377,769",NDA,NDA,"1,626,236"
Plumsted Township,Ocean,2020,JCPL,"35,878,869","13,245,902","74,845","157,314","49,356,930",PSEG,"1,141,101","335,532",NDA,NDA,"1,476,633"
Plumsted Township,Ocean,2021,JCPL,"36,901,434","15,245,248","76,878","157,464","52,381,024",PSEG,"1,261,591","387,058",NDA,NDA,"1,648,649"
Plumsted Township,Ocean,2022,JCPL,"37,859,380","15,802,661","85,974",NDA,"53,748,015",PSEG,"1,354,295","383,959",NDA,NDA,"1,738,254"
Point Pleasant Beach Borough,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"1,863,446","1,143,595",CWC,NDA,"3,007,041"
Point Pleasant Beach Borough,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"2,028,006","1,186,665",CWC,NDA,"3,214,671"
Point Pleasant Beach Borough,Ocean,2018,JCPL,"25,928,100","29,969,342","346,240","333,703","56,577,385",NJNG,"2,444,273","1,335,881",CWC,NDA,"3,780,154"
Point Pleasant Beach Borough,Ocean,2019,JCPL,"25,080,763","29,471,163","337,600","330,279","55,219,805",NJNG,"2,252,490","1,268,949",CWC,NDA,"3,521,439"
Point Pleasant Beach Borough,Ocean,2020,JCPL,"25,678,979","24,840,457","327,840","331,103","51,178,379",NJNG,"2,062,945","1,007,596",CWC,NDA,"3,070,541"
Point Pleasant Beach Borough,Ocean,2021,JCPL,"26,574,726","26,400,476","341,120","324,615","53,640,937",NJNG,"2,251,326","1,152,261",CWC,NDA,"3,403,587"
Point Pleasant Beach Borough,Ocean,2022,JCPL,"25,830,828","26,607,755","350,720",NDA,"52,789,303",NJNG,"2,187,195","1,167,751",CWC,NDA,"3,354,946"
Point Pleasant Borough,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"5,767,693","877,507",CWC,NDA,"6,645,200"
Point Pleasant Borough,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"6,128,307","979,721",CWC,NDA,"7,108,028"
Point Pleasant Borough,Ocean,2018,JCPL,"75,292,983","32,340,992","268,680","548,191","108,450,846",NJNG,"7,118,761","1,158,713",CWC,NDA,"8,277,474"
Point Pleasant Borough,Ocean,2019,JCPL,"73,043,704","31,768,087","441,551","549,227","105,802,569",NJNG,"6,733,598","1,082,548",CWC,NDA,"7,816,146"
Point Pleasant Borough,Ocean,2020,JCPL,"74,450,421","28,859,698","372,450","548,253","104,230,822",NJNG,"6,136,309","926,748",CWC,NDA,"7,063,057"
Point Pleasant Borough,Ocean,2021,JCPL,"76,352,055","29,465,136","457,767","549,073","106,824,031",NJNG,"6,542,759","1,022,368",CWC,NDA,"7,565,127"
Point Pleasant Borough,Ocean,2022,JCPL,"74,656,550","29,173,399","438,104",NDA,"104,268,053",NJNG,"6,429,090","1,028,558",CWC,NDA,"7,457,648"
Seaside Heights Borough,Ocean,2016,MEU/JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"731,872","386,128",CWC,NDA,"1,118,000"
Seaside Heights Borough,Ocean,2017,MEU/JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"784,223","397,568",CWC,NDA,"1,181,791"
Seaside Heights Borough,Ocean,2018,MEU/JCPL,"57,570","10,502",NDA,1,"68,073",NJNG,"988,417","450,442",CWC,NDA,"1,438,859"
Seaside Heights Borough,Ocean,2019,MEU/JCPL,"89,736","16,709",NDA,1,"106,446",NJNG,"908,217","415,787",CWC,NDA,"1,324,004"
Seaside Heights Borough,Ocean,2020,MEU/JCPL,"146,501","18,373",NDA,2,"164,876",NJNG,"813,886","344,679",CWC,NDA,"1,158,565"
Seaside Heights Borough,Ocean,2021,MEU/JCPL,"176,163","17,987",NDA,NDA,"194,150",NJNG,"914,434","395,983",CWC,NDA,"1,310,417"
Seaside Heights Borough,Ocean,2022,MEU/JCPL,"243,951","20,180",NDA,NDA,"264,131",NJNG,"909,803","432,139",CWC,NDA,"1,341,942"
Seaside Park Borough,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"942,322","125,424",CWC,NDA,"1,067,746"
Seaside Park Borough,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"989,138","133,822",CWC,NDA,"1,122,960"
Seaside Park Borough,Ocean,2018,JCPL,"14,160,214","5,975,105","6,204","199,176","20,340,699",NJNG,"1,237,437","154,191",CWC,NDA,"1,391,628"
Seaside Park Borough,Ocean,2019,JCPL,"13,864,878","5,887,525","6,243","199,176","19,957,822",NJNG,"1,119,627","150,460",CWC,NDA,"1,270,087"
Seaside Park Borough,Ocean,2020,JCPL,"14,681,793","5,441,396","6,398","199,176","20,328,763",NJNG,"1,022,601","132,884",CWC,NDA,"1,155,485"
Seaside Park Borough,Ocean,2021,JCPL,"14,918,110","5,658,225","7,010","199,176","20,782,521",NJNG,"1,136,283","150,928",CWC,NDA,"1,287,211"
Seaside Park Borough,Ocean,2022,JCPL,"14,798,753","5,561,275","6,220",NDA,"20,366,248",NJNG,"1,133,763","147,602",CWC,NDA,"1,281,365"
Ship Bottom Borough,Ocean,2016,ACE,"11,866,059","7,860,622","10,083","320,898","20,057,662",NJNG,"642,018","255,062",CWC,NDA,"897,080"
Ship Bottom Borough,Ocean,2017,ACE,"11,366,206","7,478,915","10,417","321,052","19,176,590",NJNG,"672,715","256,578",CWC,NDA,"929,293"
Ship Bottom Borough,Ocean,2018,ACE,"12,918,820","7,568,034","9,932","321,056","20,817,842",NJNG,"836,705","289,086",CWC,NDA,"1,125,791"
Ship Bottom Borough,Ocean,2019,ACE,"12,579,060","8,456,289","9,656","321,207","21,366,212",NJNG,"756,892","293,904",CWC,NDA,"1,050,796"
Ship Bottom Borough,Ocean,2020,ACE,"13,191,567","7,915,116","7,114","321,054","21,434,851",NJNG,"710,947","274,323",CWC,NDA,"985,270"
Ship Bottom Borough,Ocean,2021,ACE,"13,457,469","8,487,763","8,576","328,742","22,282,550",NJNG,"783,922","306,297",CWC,NDA,"1,090,219"
Ship Bottom Borough,Ocean,2022,ACE,"13,075,339","8,318,817","9,003","318,772","21,721,931",NJNG,"789,119","328,401",CWC,NDA,"1,117,520"
South Toms River Borough,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"731,675","162,376",CWC,NDA,"894,051"
South Toms River Borough,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"818,974","175,446",CWC,NDA,"994,420"
South Toms River Borough,Ocean,2018,JCPL,"9,930,528","6,739,960","1,435,073","96,504","18,202,065",NJNG,"810,581","170,692",CWC,NDA,"981,273"
