Year,County,Total:,"    Bottled, tank, or LP gas",    Coal or coke,    Electricity,"    Fuel oil, kerosene, etc.",    No fuel used,    Other fuel,    Solar energy,    Utility gas,    Wood,Latitude,Longitude
2015,Passaic County,"157,309","3,220",196,"15,879","10,257",599,320,65,"126,359",414,41.032,-74.304
2015,Salem County,"22,747","1,093",0,"2,891","8,518",38,199,60,"9,144",804,39.587,-75.363
2015,Somerset County,"117,198","1,352",0,"10,921","5,952",197,266,52,"98,333",125,40.566,-74.624
2015,Sussex County,"53,190","5,718",27,"7,121","28,974",65,875,27,"8,193","2,190",41.128,-74.663
2015,Union County,"188,035","2,389",0,"13,603","13,287","1,143",363,41,"157,146",63,40.659,-74.31
2015,Warren County,"41,813","1,828",86,"4,736","14,103",349,247,16,"18,955","1,493",40.847,-75
2016,Atlantic County,"96,777","1,254",236,"14,833","7,001",268,941,129,"70,797","1,318",39.533,-74.646
2016,Bergen County,"337,227","4,705",67,"35,148","13,943","2,217",582,75,"280,386",104,40.959,-74.074
2016,Burlington County,"165,862","3,307",64,"28,843","15,226",733,317,719,"115,617","1,036",39.855,-74.686
2016,Camden County,"185,512","2,377",100,"27,691","13,001","1,245","1,221",215,"139,477",185,39.809,-74.963
2016,Cape May County,"38,895","2,633",0,"7,442","1,786",154,902,54,"25,396",528,39.105,-74.827
2016,Cumberland County,"50,787",798,0,"8,019","9,411",362,632,125,"31,047",393,39.371,-75.056
2016,Essex County,"280,734","4,285",0,"44,713","19,902","1,988",890,137,"208,768",51,40.794,-74.264
2016,Gloucester County,"105,436","1,276",40,"12,181","10,436",265,"1,095",67,"79,126",950,39.71,-75.107
2016,Hudson County,"253,321","6,784",116,"57,295","10,800","3,254","1,012",72,"173,988",0,40.735,-74.045
2016,Hunterdon County,"47,195","4,152",64,"4,738","16,099",31,651,101,"20,636",723,40.566,-74.974
2016,Mercer County,"128,332","1,878",80,"17,387","10,057",726,688,177,"97,001",338,40.28,-74.722
2016,Middlesex County,"283,661","4,227",43,"32,806","10,051","1,147",901,51,"234,386",49,40.436,-74.407
2016,Monmouth County,"230,769","1,540",162,"27,091","12,197",629,852,82,"187,939",277,40.312,-74.12
2016,Morris County,"181,059","4,332",0,"17,374","34,434",526,403,55,"123,002",933,40.86,-74.545
2016,New Jersey,"3,194,519","59,916","1,652","423,650","271,179","16,990","14,924","3,212","2,389,530","13,466",39.833851,-74.871826
2016,Ocean County,"224,308","1,639",0,"31,129","11,772",912,"1,078",761,"176,634",383,39.965,-74.196
2016,Passaic County,"163,868","2,503",396,"17,082","10,223",818,350,0,"131,615",881,41.032,-74.304
2016,Salem County,"24,195","1,204",40,"3,148","6,772",208,428,0,"11,803",592,39.587,-75.363
2016,Somerset County,"116,169","1,547",0,"10,258","6,066",306,329,166,"97,276",221,40.566,-74.624
2016,Sussex County,"51,978","5,226",197,"7,817","27,648",179,898,45,"7,442","2,526",41.128,-74.663
2016,Union County,"187,922","1,717",0,"14,225","10,935",915,439,168,"159,470",53,40.659,-74.31
2016,Warren County,"40,512","2,532",47,"4,430","13,419",107,315,13,"17,724","1,925",40.847,-75
2017,Atlantic County,"97,618","2,437",56,"14,318","8,763",528,524,239,"69,874",879,39.533,-74.646
2017,Bergen County,"338,516","3,693",77,"37,925","14,149","1,453","1,132",213,"279,615",259,40.959,-74.074
2017,Burlington County,"164,248","2,947",24,"30,832","13,980",580,464,801,"113,442","1,178",39.855,-74.686
2017,Camden County,"190,616","2,437",0,"30,093","12,777",725,514,361,"143,309",400,39.809,-74.963
2017,Cape May County,"39,526","2,603",0,"8,291","2,097",96,430,38,"25,656",315,39.105,-74.827
2017,Cumberland County,"50,696","1,769",0,"5,097","12,194",140,286,8,"30,665",537,39.371,-75.056
2017,Essex County,"284,928","5,367",0,"36,722","18,217","1,554","1,232",472,"221,193",171,40.794,-74.264
2017,Gloucester County,"105,236","1,383",0,"9,853","11,492",149,511,43,"81,411",394,39.71,-75.107
2017,Hudson County,"251,906","4,776",447,"51,463","11,265","2,690","1,182",0,"180,083",0,40.735,-74.045
2017,Hunterdon County,"45,967","5,256",97,"3,591","15,982",125,552,0,"19,608",756,40.566,-74.974
2017,Mercer County,"128,757","1,722",0,"16,857","9,842",607,85,0,"99,491",153,40.28,-74.722
2017,Middlesex County,"285,446","3,417",0,"34,883","11,566",881,984,355,"232,961",399,40.436,-74.407
2017,Monmouth County,"235,727","2,886",0,"26,781","9,945",708,398,171,"194,153",685,40.312,-74.12
2017,Morris County,"180,854","3,784",15,"18,303","30,398",499,624,402,"126,122",707,40.86,-74.545
2017,New Jersey,"3,218,798","62,490",990,"415,119","271,265","14,193","12,938","4,801","2,425,008","11,994",39.833851,-74.871826
2017,Ocean County,"225,847","1,924",0,"33,554","11,416",328,604,"1,037","176,237",747,39.965,-74.196
2017,Passaic County,"168,397","2,542",0,"15,871","10,557",626,749,71,"137,454",527,41.032,-74.304
2017,Salem County,"24,801","1,249",0,"3,180","7,817",0,161,0,"11,914",480,39.587,-75.363
2017,Somerset County,"114,812","1,585",0,"9,023","5,528",372,376,194,"97,498",236,40.566,-74.624
2017,Sussex County,"53,396","5,619",169,"7,367","27,202",52,"1,414",108,"9,568","1,897",41.128,-74.663
2017,Union County,"190,138","3,076",0,"16,281","11,441","1,947",427,263,"156,657",46,40.659,-74.31
2017,Warren County,"41,366","2,018",105,"4,834","14,637",133,289,25,"18,097","1,228",40.847,-75
2018,Atlantic County,"96,981","2,359",0,"14,553","7,610",356,435,321,"70,310","1,037",39.533,-74.646
2018,Bergen County,"339,953","5,204",219,"35,912","12,254","1,307","1,228",244,"283,451",134,40.959,-74.074
2018,Burlington County,"166,698","4,458",0,"30,707","13,787",375,874,634,"114,649","1,214",39.855,-74.686
2018,Camden County,"188,840","3,514",0,"26,189","11,334",691,563,386,"145,843",320,39.809,-74.963
2018,Cape May County,"39,208","3,734",0,"6,590","1,919",242,651,343,"25,405",324,39.105,-74.827
2018,Cumberland County,"50,034","1,718",0,"6,303","10,910",102,261,5,"30,060",675,39.371,-75.056
2018,Essex County,"289,921","4,386",0,"42,171","15,805","2,811","2,034",177,"222,537",0,40.794,-74.264
2018,Gloucester County,"101,414","1,599",0,"12,943","11,489",104,553,341,"74,109",276,39.71,-75.107
2018,Hudson County,"263,924","7,109",0,"58,138","11,052","3,657","1,581",386,"182,001",0,40.735,-74.045
2018,Hunterdon County,"47,733","4,290",0,"4,558","16,359",0,205,37,"21,098","1,186",40.566,-74.974
2018,Mercer County,"132,980","1,669",0,"23,381","8,337",552,389,0,"98,502",150,40.28,-74.722
2018,Middlesex County,"285,480","3,087",0,"38,636","12,148","1,582","1,061",0,"228,672",294,40.436,-74.407
2018,Monmouth County,"236,327","2,569",68,"27,575","8,902",691,454,144,"195,351",573,40.312,-74.12
2018,Morris County,"181,738","4,327",110,"19,313","31,233",684,"1,119",40,"124,124",788,40.86,-74.545
2018,New Jersey,"3,249,567","67,930",992,"437,888","258,889","17,677","14,313","4,626","2,435,183","12,069",39.833851,-74.871826
2018,Ocean County,"228,622","1,927",106,"32,672","9,832",488,571,820,"180,814","1,392",39.965,-74.196
2018,Passaic County,"169,521","2,306",121,"15,058","9,128","1,125",320,239,"140,729",495,41.032,-74.304
2018,Salem County,"23,952","1,145",66,"2,868","7,609",164,290,119,"10,872",819,39.587,-75.363
2018,Somerset County,"118,729","1,180",0,"11,383","6,500","1,058",320,43,"98,201",44,40.566,-74.624
2018,Sussex County,"53,749","6,248",167,"8,106","27,653",0,649,97,"9,296","1,533",41.128,-74.663
2018,Union County,"192,021","2,382",41,"15,895","11,391","1,662",483,187,"159,932",48,40.659,-74.31
2018,Warren County,"41,742","2,719",94,"4,937","13,637",26,272,63,"19,227",767,40.847,-75
2019,Atlantic County,"101,975","2,547",0,"13,628","6,959","1,007",377,504,"75,998",955,39.533,-74.646
2019,Bergen County,"343,733","6,835",129,"44,264","12,664","2,774",714,278,"275,817",258,40.959,-74.074
2019,Burlington County,"170,074","2,702",0,"33,896","14,017",701,796,625,"116,593",744,39.855,-74.686
2019,Camden County,"187,780","2,277",102,"29,508","9,728","1,523",403,344,"143,840",55,39.809,-74.963
2019,Cape May County,"40,939","2,700",32,"9,150","2,329",198,713,266,"25,462",89,39.105,-74.827
2019,Cumberland County,"51,360","2,591",40,"6,951","9,000",58,34,59,"31,828",799,39.371,-75.056
2019,Essex County,"295,976","5,212",47,"40,808","14,651","3,397","1,379",112,"230,306",64,40.794,-74.264
2019,Gloucester County,"106,705","1,816",196,"8,368","11,035",195,787,294,"83,690",324,39.71,-75.107
2019,Hudson County,"266,664","7,442",56,"58,283","7,400","3,847","1,402",59,"188,099",76,40.735,-74.045
2019,Hunterdon County,"47,901","5,013",0,"5,222","14,654",100,259,168,"21,120","1,365",40.566,-74.974
