Year,County,Total:,"    $10,000 to $14,999","    $100,000 to $124,999","    $125,000 to $149,999","    $15,000 to $19,999","    $150,000 to $199,999","    $20,000 to $24,999","    $200,000 or more","    $25,000 to $29,999","    $30,000 to $34,999","    $35,000 to $39,999","    $40,000 to $44,999","    $45,000 to $49,999","    $50,000 to $59,999","    $60,000 to $74,999","    $75,000 to $99,999","    Less than $10,000"
2014,Atlantic,"101,937","4,572","8,052","5,147","6,135","5,186","5,261","4,788","5,159","4,107","3,970","6,173","3,612","7,878","11,556","13,113","7,228"
2014,Bergen,"337,469","9,482","37,338","26,577","11,524","36,453","9,534","44,672","10,653","11,536","9,721","11,660","9,728","21,098","29,565","40,715","17,213"
2014,Burlington,"165,424","4,228","20,506","11,947","5,233","17,419","4,595","15,100","7,562","6,279","5,747","5,394","4,819","11,322","14,743","23,801","6,729"
2014,Camden,"188,064","8,883","16,888","14,046","9,066","12,722","9,617","11,007","7,526","7,393","7,415","7,702","6,443","12,617","19,018","23,764","13,957"
2014,Cape May,"40,779","1,782","3,782","1,904","1,781","2,525","2,123","2,363","2,387","1,906","2,117","1,641","1,861","3,084","3,323","5,508","2,692"
2014,Cumberland,"50,593","2,656","2,929","1,856","3,641","1,599","3,541","1,147","2,969","2,769","3,046","2,820","2,296","4,736","4,705","6,239","3,644"
2014,Essex,"277,735","17,641","20,846","13,686","13,600","14,228","15,329","27,560","13,647","13,488","10,795","11,920","9,425","19,749","24,177","28,994","22,650"
2014,Gloucester,"104,305","3,422","14,582","8,803","3,382","10,044","3,713","7,267","3,424","3,031","2,803","3,920","4,090","6,289","9,601","14,568","5,366"
2014,Hudson,"253,300","13,769","21,506","13,197","13,691","16,441","12,597","20,263","10,754","9,872","10,368","10,999","9,381","16,983","24,115","29,074","20,290"
2014,Hunterdon,"47,387",906,"4,455","4,564",943,"7,250","1,306","8,420","1,107","1,069","1,056","1,791","1,636","2,865","4,018","4,795","1,206"
2014,Mercer,"131,564","4,963","13,429","9,263","5,190","11,020","4,553","16,183","4,902","4,048","4,896","4,709","3,188","9,276","11,385","15,866","8,693"
2014,Middlesex,"282,860","8,317","30,124","22,964","8,788","28,301","9,554","28,619","9,592","10,329","9,590","10,972","8,673","20,318","28,786","36,382","11,551"
2014,Monmouth,"230,391","6,615","25,010","18,104","6,190","23,961","10,912","35,293","6,939","7,739","5,291","6,956","6,070","13,882","19,172","28,173","10,084"
2014,Morris,"179,654","3,649","22,471","13,871","4,634","20,721","3,966","33,554","4,182","4,370","5,070","5,000","4,038","9,745","15,601","23,822","4,960"
2014,Ocean,"220,941","8,157","20,985","14,247","10,474","17,279","11,439","10,902","9,620","10,334","8,217","9,119","8,581","16,762","25,487","28,513","10,825"
