Municipality,County,Muni/County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Medford Twp,Burlington,Medford Twp Burlington,2022,PSEG/ACE,"104,821,713","56,238,777","2,295,545","1,350,680","164,706,715",PSEG/SJG,"14,356,050","3,616,049",NDA,NDA,"17,972,099"
Moorestown Twp,Burlington,Moorestown Twp Burlington,2022,PSEG,"93,935,358","133,780,939","92,711,611","1,347,704","321,775,612",PSEG,"8,130,169","4,862,282","278,507",NDA,"13,270,958"
Mount Holly Twp,Burlington,Mount Holly Twp Burlington,2022,PSEG,"31,715,233","49,426,245","4,429,020","907,778","86,478,276",PSEG,"2,577,700","1,838,703","49,724",NDA,"4,466,127"
Mount Laurel Twp,Burlington,Mount Laurel Twp Burlington,2022,PSEG/ACE,"170,190,170","281,724,864","13,285,328","2,818,088","468,018,450",PSEG,"11,497,540","6,024,712","758,071",NDA,"18,280,323"
New Hanover Twp,Burlington,New Hanover Twp Burlington,2022,JCPL,"14,002,095","139,688,134",NDA,NDA,"153,690,229",PSEG,"643,935","7,088,775",NDA,NDA,"7,732,710"
North Hanover Twp,Burlington,North Hanover Twp Burlington,2022,PSEG/JCPL,"18,103,995","6,558,259",NDA,184,"24,662,438",PSEG,"88,165","76,477",NDA,NDA,"164,643"
Palmyra Boro,Burlington,Palmyra Boro Burlington,2022,PSEG,"26,187,779","10,657,867","2,086,259","522,897","39,454,802",PSEG,"2,014,258","658,289","86,489","4,533","2,763,570"
Pemberton Boro,Burlington,Pemberton Boro Burlington,2022,MEU/JCPL,"119,763","8,924,587",NDA,NDA,"9,044,350",PSEG,"413,449","137,391","1,212",NDA,"552,052"
Pemberton Twp,Burlington,Pemberton Twp Burlington,2022,PSEG/JCPL,"101,539,105","46,885,847","183,181","60,187","148,668,320",PSEG,"4,312,028","1,670,944","2,650",NDA,"5,985,622"
Riverside Twp,Burlington,Riverside Twp Burlington,2022,PSEG,"25,201,921","13,165,077","2,417,514","435,032","41,219,544",PSEG,"2,068,810","663,103","37,237",NDA,"2,769,150"
Riverton Boro,Burlington,Riverton Boro Burlington,2022,PSEG,"9,857,683","3,164,831","32,261","116,812","13,171,587",PSEG,"986,214","207,138","1,600","19,714","1,214,665"
Shamong Twp,Burlington,Shamong Twp Burlington,2022,ACE,"28,032,681","4,988,161","69,482","33,509","33,123,833",SJG,"3,012,535","669,718",NDA,NDA,"3,682,253"
Southampton Twp,Burlington,Southampton Twp Burlington,2022,PSEG/JCPL/ACE,"57,214,842","12,325,574","795,721","766,258","71,102,395",PSEG/SJG,"1,232,130","261,474",NDA,NDA,"1,493,604"
